"","rid","mean","lower","upper","auth1","auth2","auth3","auth4","authoritarianism","sdo","married","college","income","christian","post_call","uncertainty","waterFish","envHabitat","envWater","envPollution","envTemp","waterDams","waterConservation","publicConservation","immUndocumented","immSeparation","immAsylum","immBirthright","immTech","immResources","police","gunHome","concealCarry","background","registry","rwm","trump_vote","state_residence","state_insult","state_common","state_interest","state_we","state_partme","state_proud","state_identity_identity_strength","latino","black","other","white","recount","electionFraud","rr","moral_individualism","individualism","ideology","gender","party3","caseid","age","gen","authScaled"
"1",1237524981,0.125309479589615,-1.38427827961395,1.57309956052809,1,0,1,0,0.5,0,0,1,0,0,0,0,3,4,4,3,3,1,5,"renewable",1,1,1,1,NA,1,3,0,1,1,1,0,0,"New Mexico",5,5,4,5,5,5,"New Mexico",0,0,0,1,4,3,0,0.9375,0.15,1,"Female",1,1237524981,43,"Gen X",0.504236852959679
"2",1238623187,-0.405569320300812,-1.83844558380998,1.03955130136336,0,0,0,1,0.25,0.3125,0,1,0,0,0,0,2,2,2,2,2,4,3,"renewable",5,3,1,3,2,NA,2,0,4,2,2,0,1,"New Mexico",3,2,2,2,2,4,"New Mexico",1,0,0,0,3,2,0.6875,0.25,0.45,2,"Female",1,1238623187,53,"Gen X",0.275727207110396
"3",1239703947,-0.9952612266922,-2.65960561947038,0.522865504480509,0,0,0,0,0,0.0625,1,1,1,0,0,0,3,3,4,2,2,2,4,"renewable",1,1,2,1,1,NA,3,0,2,1,1,0,0,"New Mexico",4,3,4,4,4,4,"New Mexico",0,0,0,1,4,4,0.0625,0.125,0.2,1,"Male",NA,1239703947,73,"Boomer",0.0219022498555623
"4",1241042843,-0.998423793541015,-2.57724087359878,0.526999696372345,0,0,0,0,0,0.375,0,0,0,0,0,0,2,4,4,4,4,3,4,"renewable",1,1,3,3,4,NA,3,0,1,1,1,0,NA,"Utah",4,3,3,2,2,2,"Wyoming",0,0,0,1,3,2,0.125,0.375,0.4,4,"Female",2,1241042843,65,"Boomer",0.0205409654517651
"5",1247946517,0.68507642547668,-0.755935883290321,2.19469614192083,1,1,1,0,0.75,0.25,0,0,0,0,0,0,2,3,3,4,3,4,3,"extraction",3,2,5,5,NA,3,4,1,3,3,5,0,1,"Colorado",4,3,4,4,3,4,"Kansas",0,0,0,1,4,4,0.625,0.375,0.5,5,"Male",3,1247946517,83,"Greatest",0.745181013075301
"6",1248601193,-1.00993079504054,-2.59667235918612,0.471426255798881,0,0,0,0,0,0.0625,1,1,0,0,0,0,1,3,2,3,4,5,5,"protection",1,1,1,1,1,NA,3,0,3,1,1,0,NA,"Nevada",5,4,5,5,5,5,"Nevada",1,0,0,0,5,5,0,0.625,0.2,2,"Female",1,1248601193,35,"Millenial",0.0155879312790212
"7",1250195959,0.128186328096465,-1.24043929225657,1.55104941626726,1,1,0,0,0.5,0.375,1,0,1,1,0,0,1,1,2,1,1,3,2,"extraction",4,3,5,5,5,NA,5,1,5,3,5,1,1,"Arizona",5,4,3,3,5,5,"Arizona",0,0,0,1,1,2,0.75,0.5,0.95,4,"Male",2,1250195959,72,"Boomer",0.505475153742453
"8",1250735725,0.136439318213647,-1.38213955243349,1.53396087958809,1,1,0,0,0.5,0.125,0,1,0,1,0,0,3,4,4,4,4,4,4,"renewable",2,1,2,1,NA,NA,4,0,5,1,1,0,0,"Colorado",2,4,4,2,4,5,"Colorado",0,0,0,1,4,5,0.1875,0.4375,0.55,4,"Female",1,1250735725,49,"Gen X",0.50902754244071
"9",1251746297,0.124537923546061,-1.27747534318615,1.58465952722473,1,0,0,1,0.5,0.4375,0,0,1,1,0,0,1,2,2,2,2,3,3,"extraction",4,3,5,4,NA,3,4,0,3,2,4,0,1,"Arizona",3,4,4,5,4,5,"Wyoming",0,0,0,1,2,4,0.6875,0.5,0.75,5,"Female",3,1251746297,73,"Boomer",0.503904747028341
"10",1251864013,0.143885244264338,-1.35663991092307,1.568766786156,1,1,0,0,0.5,0.5,0,1,0,1,0,0,2,2,2,2,1,4,3,"extraction",3,3,4,2,NA,3,5,1,4,2,5,0,1,"Utah",3,1,1,3,1,1,"Utah",0,0,1,0,3,5,0.75,0.5,0.45,4,"Male",NA,1251864013,71,"Boomer",0.512232541256286
